1,The Shawshank Redemption,1994
2,The Godfather,1972
3,The Dark Knight,2008
4,The Godfather: Part II,1974
5,12 Angry Men,1957
6,The Lord of the Rings: The Return of the King,2003
7,Pulp Fiction,1994
8,Schindler's List,1993
9,Inception,2010
10,Fight Club,1999
11,The Lord of the Rings: The Fellowship of the Ring,2001
12,Forrest Gump,1994
13,The Good the Bad and the Ugly,1966
14,The Lord of the Rings: The Two Towers,2002
15,The Matrix,1999
16,Goodfellas,1990
17,Star Wars: Episode V - The Empire Strikes Back,1980
18,One Flew Over the Cuckoo's Nest,1975
19,Parasite,2019
20,Interstellar,2014
21,City of God,2002
22,Spirited Away,2001
23,Saving Private Ryan,1998
24,The Green Mile,1999
25,Life Is Beautiful,1997
26,Se7en,1995
27,The Silence of the Lambs,1991
28,Star Wars: Episode IV - A New Hope,1977
29,Hara-Kiri,1962
30,Seven Samurai,1954
31,It's a Wonderful Life,1946
32,Hamilton,2020
33,Whiplash,2014
34,The Intouchables,2011
35,The Prestige,2006
36,The Departed,2006
37,The Pianist,2002
38,Gladiator,2000
39,American History X,1998
40,The Usual Suspects,1995
41,Léon: The Professional,1994
42,The Lion King,1994
43,Terminator 2: Judgment Day,1991
44,Cinema Paradiso,1988
45,Grave of the Fireflies,1988
46,Back to the Future,1985
47,Once Upon a Time in the West,1968
48,Psycho,1960
49,Casablanca,1942
50,Modern Times,1936
51,City Lights,1931
52,Capernaum,2018
53,Joker,2019
54,Your Name.,2016
55,Dangal,2016
56,Spider-Man: Into the Spider-Verse,2018
57,Avengers: Endgame,2019
58,Avengers: Infinity War,2018
59,Coco (I),2017
60,Django Unchained,2012
61,The Dark Knight Rises,2012
62,3 Idiots,2009
63,Taare Zameen Par,2007
64,WALL·E,2008
65,The Lives of Others,2006
66,Oldboy,2003
67,Memento,2000
68,Princess Mononoke,1997
69,Once Upon a Time in America,1984
70,Indiana Jones and the Raiders of the Lost Ark,1981
71,The Shining,1980
72,Apocalypse Now,1979
73,Alien,1979
74,High and Low,1963
75,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
76,Witness for the Prosecution,1957
77,Paths of Glory,1957
78,Rear Window,1954
79,Sunset Blvd.,1950
80,The Great Dictator,1940
81,The Hunt,2012
82,Inglourious Basterds,2009
83,Eternal Sunshine of the Spotless Mind,2004
84,Requiem for a Dream,2000
85,American Beauty,1999
86,Good Will Hunting,1997
87,Toy Story,1995
88,Braveheart,1995
89,Reservoir Dogs,1992
90,Aliens,1986
91,Amadeus,1984
92,Star Wars: Episode VI - Return of the Jedi,1983
93,Das Boot,1981
94,2001: A Space Odyssey,1968
95,Vertigo,1958
96,Singin' in the Rain,1952
97,Bicycle Thieves,1948
98,Citizen Kane,1941
99,M,1931
100,The Kid,1921
